Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2024-05-26,12:42:41,CNR6744665,Cancelled by System,290453,Auto,Domlur,Kalyan Nagar,,,0,,0,,0,,,,,
2024-05-02,16:59:05,CNR5315180,Success,755262,Mini,Indiranagar,Richmond Town,1.16,11.6,0,,0,,0,,331,6.92,3.8,4.2
2024-05-27,13:38:31,CNR1318583,Success,353908,Bike,Frazer Town,Bennigana Halli,1.07,14.5,0,,0,,0,,268,36.96,4.5,4.3
2024-05-12,22:14:35,CNR3000903,Success,203091,Auto,Sahakara Nagar,JP Nagar,5.76,12.05,0,,0,,0,,1101,41.07,4.8,3.8
2024-05-07,08:25:06,CNR2513228,Success,959773,Auto,Whitefield,Sanjay Nagar,7.84,5.98,0,,0,,0,,325,18.2,4.2,4.5
2024-05-21,06:03:28,CNR6149802,Incomplete,559936,Prime Sedan,Brookefield,Frazer Town,6.78,5.64,0,,0,,1,Other Issue,460,31.26,3.1,4.4
2024-05-20,11:04:02,CNR9293927,Success,160873,Bike,JP Nagar,Old Airport Road,8.31,4.08,0,,0,,0,,178,2.4,3.6,4.9
2024-05-29,09:48:42,CNR8544944,Cancelled by Driver,304219,Bike,Domlur,Basavanagudi,,,0,,1,Customer related issue,0,,,,,
2024-05-05,18:56:38,CNR7881583,Success,128087,Mini,Cooke Town,Commercial Street,5.06,7.92,0,,0,,0,,135,24.44,4.1,4.3
2024-05-06,21:47:18,CNR8184472,Success,724211,Mini,Sadashivanagar,Peenya,3.25,9.9,0,,0,,0,,758,16.76,4.5,3.9
2024-05-11,18:51:20,CNR5373649,Success,298299,Prime Plus,Ulsoor,Vidyaranyapura,4.28,2.85,0,,0,,0,,2936,14.49,3.5,3.9
2024-05-14,03:52:02,CNR7581853,Success,922387,Bike,New BEL Road,Koramangala,5.86,6.11,0,,0,,0,,84,33.65,3.5,4
2024-05-21,11:05:52,CNR3652047,Success,456899,eBike,Peenya,JP Nagar,1.31,8.29,0,,0,,0,,504,30.57,5,4.8
2024-05-05,13:34:13,CNR4224607,Success,698520,Prime SUV,Rajajinagar,Sarjapur Road,7.14,11.79,0,,0,,0,,756,8.92,4,4.6
2024-05-22,11:54:21,CNR3362949,Cancelled by Driver,289990,Mini,Banashankari,Basavanagudi,,,0,,1,Customer related issue,0,,,,,
2024-05-24,11:35:08,CNR9208451,Cancelled by Driver,908283,Prime SUV,Koramangala,Cooke Town,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-11,15:46:26,CNR9845647,Success,425063,Auto,Sadashivanagar,Jayanagar,4.76,6.92,0,,0,,0,,1130,29.56,3.3,3.5
2024-05-09,18:48:15,CNR4898073,Success,517990,Auto,Indiranagar,Jalahalli,8.72,8.03,0,,0,,0,,206,17.49,3.4,4.7
2024-05-23,11:05:05,CNR5326319,Success,832228,Mini,Sahakara Nagar,Peenya,7.53,10.67,0,,0,,0,,180,16.43,3.3,4.6
2024-05-12,20:52:24,CNR5274113,Cancelled by Driver,685907,Mini,Jayanagar,Sanjay Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-21,02:53:46,CNR7022501,Success,278639,Prime SUV,Koramangala,Rajajinagar,5.41,2.05,0,,0,,0,,196,26.09,3,4.8
2024-05-25,15:20:03,CNR5236824,Success,184660,Bike,RT Nagar,Langford Town,7.05,4.84,0,,0,,0,,590,4.43,3.9,4.1
2024-05-07,04:30:58,CNR9864730,Success,273814,Auto,Kalyan Nagar,RT Nagar,1.36,14.33,0,,0,,0,,946,14.38,3.4,5
2024-05-31,12:44:04,CNR4699538,Success,468134,Bike,New BEL Road,MG Road,8.97,2.01,0,,0,,0,,471,27.6,4.6,3.8
2024-05-12,05:38:38,CNR2098200,Cancelled by Driver,474372,Prime Sedan,Rajajinagar,Yelahanka,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-22,17:09:29,CNR5161381,Success,718156,Prime Sedan,Mathikere,Mahadevapura,3.57,5.27,0,,0,,0,,249,18.28,4.3,4.3
2024-05-16,16:38:24,CNR8589363,Success,195146,eBike,JP Nagar,Langford Town,3.38,7.52,0,,0,,0,,117,23.45,4.9,4.4
2024-05-22,14:43:24,CNR6508242,Cancelled by Driver,801805,Bike,Bannerghatta Road,Jayanagar,,,0,,1,Customer related issue,0,,,,,
2024-05-28,05:22:03,CNR9993761,Success,442638,Auto,Marathahalli,Kalyan Nagar,7.16,9.34,0,,0,,0,,202,15.99,3.7,3.7
2024-05-27,03:43:44,CNR2155119,Success,766809,Prime SUV,Koramangala,Frazer Town,8.61,14.23,0,,0,,0,,83,25.72,3.3,4.9
2024-05-26,04:12:40,CNR9443798,Cancelled by Driver,365258,Auto,Jalahalli,Brigade Road,,,0,,1,Customer related issue,0,,,,,
2024-05-25,10:16:51,CNR2155140,Success,660803,Prime Sedan,Mathikere,Hoodi,9.31,5.14,0,,0,,0,,276,4.74,3.1,3.6
2024-05-18,23:44:52,CNR5266755,Success,118601,eBike,Peenya,RT Nagar,6.73,11.7,0,,0,,0,,436,3.47,4.8,4.9
2024-05-30,23:55:24,CNR9380723,Success,567953,Prime Plus,New BEL Road,Whitefield,6.68,9.4,0,,0,,0,,630,14.97,4.9,3.6
2024-05-11,08:27:17,CNR8302300,Success,305794,Prime Plus,Frazer Town,Koramangala,9.33,14.39,0,,0,,0,,374,4.84,4.7,3.9
2024-05-14,02:02:44,CNR7507478,Cancelled by Driver,174740,Prime Sedan,Sahakara Nagar,Vidyaranyapura,,,0,,1,More than permitted people in there,0,,,,,
2024-05-12,15:05:01,CNR5587826,Cancelled by Driver,730212,Mini,Basavanagudi,Kammanahalli,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-30,09:42:43,CNR5254482,Cancelled by Driver,658327,Mini,Banashankari,Sarjapur Road,,,0,,1,Customer related issue,0,,,,,
2024-05-18,18:10:37,CNR8352840,Success,864139,eBike,Malleshwaram,Frazer Town,6.55,11.92,0,,0,,0,,772,30.53,3.8,4.2
2024-05-05,17:01:41,CNR2699778,Success,416254,Prime Plus,Vasanth Nagar,Electronic City,8.87,5.53,0,,0,,0,,294,13.77,3.1,4.6
2024-05-05,21:07:28,CNR6729365,Success,560198,Prime SUV,Jalahalli,JP Nagar,2.6,6.58,0,,0,,0,,886,22.71,4.5,3.5
2024-05-26,23:51:58,CNR8116633,Success,870572,Prime SUV,Sarjapur Road,Vidyaranyapura,3.7,9.15,0,,0,,0,,380,29.52,3.5,4.7
2024-05-26,16:03:13,CNR4056431,Cancelled by Customer,725371,Prime Sedan,Frazer Town,Sahakara Nagar,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-02,00:13:12,CNR1893083,Incomplete,674959,Auto,Hoodi,New BEL Road,4.92,9.4,0,,0,,1,Customer Demand,461,39.95,4.8,4.6
2024-05-03,01:29:20,CNR1566988,Cancelled by System,775319,Bike,Varthur,Jayanagar,,,0,,0,,0,,,,,
2024-05-04,05:14:49,CNR6483441,Success,500922,Prime Plus,Sadashivanagar,CV Raman Nagar,8.34,6.75,0,,0,,0,,111,5.89,4.9,4.4
2024-05-24,06:34:11,CNR8861992,Success,923779,Prime Sedan,Gokula,Yeshwanthpur,3.72,5.57,0,,0,,0,,276,32.84,4,3.6
2024-05-13,17:06:33,CNR4132461,Cancelled by System,438726,Prime SUV,RT Nagar,Yeshwanthpur,,,0,,0,,0,,,,,
2024-05-04,14:25:41,CNR9195188,Success,687653,Auto,Marathahalli,Old Airport Road,3.01,12.79,0,,0,,0,,673,4.39,3.6,4.9
2024-05-25,08:44:18,CNR6220847,Success,341438,Bike,Brookefield,Rajajinagar,6.29,9.55,0,,0,,0,,403,40.77,4.6,4.9
2024-05-23,23:05:51,CNR9461421,Cancelled by Driver,998514,Prime Sedan,Brigade Road,Brookefield,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-16,15:27:00,CNR9450002,Success,205332,Mini,Commercial Street,New BEL Road,6.88,14.43,0,,0,,0,,690,6.38,3.8,4.4
2024-05-07,16:11:22,CNR6716557,Success,989209,Prime SUV,New BEL Road,Domlur,3.48,5.62,0,,0,,0,,831,40.31,4.9,4.2
2024-05-12,17:26:21,CNR3523047,Success,411875,eBike,Malleshwaram,Kammanahalli,2.5,2.41,0,,0,,0,,229,29.23,4.9,4.9
2024-05-11,03:00:39,CNR9936330,Cancelled by Customer,191499,eBike,Sadashivanagar,Indiranagar,,,1,Wrong Address,0,,0,,,,,
2024-05-22,19:50:06,CNR3340638,Success,931060,eBike,Yelahanka,Jayanagar,4.16,7.22,0,,0,,0,,599,18.33,4.7,3.9
2024-05-04,04:49:51,CNR7088046,Success,310427,Prime Plus,Sarjapur Road,Vidyaranyapura,1.59,3.88,0,,0,,0,,140,1.06,5,3.8
2024-05-29,05:43:24,CNR8988180,Success,332565,Prime SUV,RT Nagar,Banashankari,3.52,4.38,0,,0,,0,,588,21.75,3.2,4
2024-05-17,04:31:02,CNR8601412,Success,576009,Prime Plus,Indiranagar,Mathikere,2.21,4.85,0,,0,,0,,498,17.96,3.4,4.7
2024-05-24,07:04:07,CNR1058976,Success,245190,Prime Plus,Bannerghatta Road,Domlur,1.25,10.2,0,,0,,0,,931,6.49,3.7,4.3
2024-05-13,13:49:24,CNR6098476,Success,639933,eBike,CV Raman Nagar,Rajajinagar,2.65,12,0,,0,,0,,682,12.35,4.1,4.2
2024-05-25,21:14:16,CNR3848219,Success,279856,Prime Plus,Gokula,Sahakara Nagar,4.26,3.56,0,,0,,0,,292,31.85,4.5,4.1
2024-05-02,08:22:41,CNR1116513,Success,439236,Auto,CV Raman Nagar,Cooke Town,4.93,12.04,0,,0,,0,,139,34.46,3.2,4
2024-05-18,08:38:05,CNR8818933,Success,900879,Prime Plus,New BEL Road,Hoodi,8.35,11.37,0,,0,,0,,66,13.2,4.6,4.5
2024-05-18,13:43:14,CNR8835625,Cancelled by Customer,760078,Mini,Vijayanagar,Brigade Road,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-17,12:36:59,CNR9721420,Cancelled by Driver,815658,eBike,Langford Town,Vijayanagar,,,0,,1,Customer related issue,0,,,,,
2024-05-26,09:29:27,CNR9961289,Success,410504,Auto,Old Airport Road,Mahadevapura,8.35,3.85,0,,0,,0,,241,41.38,4.9,4.2
2024-05-24,02:59:11,CNR7379717,Success,780516,Prime SUV,JP Nagar,RT Nagar,7,5.89,0,,0,,0,,495,8.24,3.6,4.6
2024-05-29,02:20:33,CNR5792116,Cancelled by System,402020,Auto,Bennigana Halli,Indiranagar,,,0,,0,,0,,,,,
2024-05-22,18:58:25,CNR3513758,Success,711359,Mini,Yelahanka,Brigade Road,8.38,11.31,0,,0,,0,,323,15.69,4.6,3.8
2024-05-19,06:14:58,CNR7014978,Success,649489,Mini,Rajajinagar,Yelahanka,5.88,3.83,0,,0,,0,,1263,4.95,3.4,4.4
2024-05-22,14:19:07,CNR7777155,Success,243628,eBike,Electronic City,Rajajinagar,3.13,6.26,0,,0,,0,,212,44.1,4.1,4.5
2024-05-12,21:32:03,CNR2607977,Success,741668,Bike,BTM Layout,Cooke Town,7.89,10.12,0,,0,,0,,482,13.89,3,3.9
2024-05-11,18:22:30,CNR3479957,Cancelled by Driver,578572,Mini,Sarjapur Road,Richmond Town,,,0,,1,More than permitted people in there,0,,,,,
2024-05-22,22:06:59,CNR9664621,Success,522298,Prime SUV,Kalyan Nagar,Varthur,6.58,5.97,0,,0,,0,,959,13.74,3.7,3.9
2024-05-29,22:23:22,CNR1897396,Success,892474,Mini,Kalyan Nagar,Richmond Town,8.55,4.11,0,,0,,0,,379,17.53,4.9,4.6
2024-05-17,16:33:47,CNR7316327,Success,336225,Prime SUV,Yeshwanthpur,Jalahalli,9.44,11.13,0,,0,,0,,193,26.13,3.9,4.6
2024-05-30,04:14:21,CNR8419503,Success,178093,Auto,HSR Layout,Old Airport Road,7.47,3.81,0,,0,,0,,794,19.88,3.9,3.6
2024-05-06,14:36:21,CNR3840169,Success,990841,Prime SUV,Commercial Street,Yelahanka,4.12,2.29,0,,0,,0,,71,6.33,3,4.7
2024-05-15,10:18:20,CNR6755250,Success,534558,Prime Plus,MG Road,Electronic City,8.57,10.47,0,,0,,0,,116,40.46,3.4,4
2024-05-14,06:50:17,CNR3918376,Success,498431,Auto,Koramangala,New BEL Road,6.87,5.74,0,,0,,0,,110,8.86,3.1,4.9
2024-05-06,03:49:18,CNR4337363,Success,339087,Bike,Commercial Street,Jayanagar,5.37,5.67,0,,0,,0,,164,8.8,3.6,4.3
2024-05-12,07:09:41,CNR6647597,Success,707516,Bike,Jalahalli,Kalyan Nagar,7.96,11.12,0,,0,,0,,278,18.01,4.3,4.7
2024-05-08,17:03:43,CNR1874951,Success,922436,Prime Plus,Hebbal,Bannerghatta Road,8.38,13.55,0,,0,,0,,731,13.04,3.3,3.8
2024-05-31,01:19:25,CNR6666936,Success,991121,Mini,JP Nagar,Koramangala,1.06,13.16,0,,0,,0,,242,30.8,5,4.4
2024-05-28,12:13:59,CNR2520240,Cancelled by Customer,628482,Mini,Electronic City,Bellandur,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-16,19:19:17,CNR4811209,Success,123131,Prime Sedan,Varthur,Bellandur,2.95,10.22,0,,0,,0,,302,16.54,3.8,4.5
2024-05-11,09:52:43,CNR6213038,Cancelled by Customer,790717,eBike,Indiranagar,Commercial Street,,,1,Change of plans,0,,0,,,,,
2024-05-28,23:17:02,CNR4400222,Success,590838,Prime Sedan,Peenya,Kalyan Nagar,6.93,4.89,0,,0,,0,,999,33.93,3.8,4.2
2024-05-22,19:25:04,CNR1420509,Cancelled by Driver,429460,Mini,Kadugodi,Mathikere,,,0,,1,Customer related issue,0,,,,,
2024-05-11,12:00:12,CNR1312288,Success,304840,Auto,Indiranagar,Vasanth Nagar,4.74,4.5,0,,0,,0,,938,42.73,3.6,4.2
2024-05-21,23:36:59,CNR1848200,Incomplete,501651,Prime Plus,Malleshwaram,RT Nagar,9.36,11.34,0,,0,,1,Other Issue,183,10.71,3.5,4.4
2024-05-23,19:25:23,CNR8802286,Success,185730,Auto,Sahakara Nagar,Richmond Town,9.38,8.23,0,,0,,0,,405,11.56,3.9,4.8
2024-05-02,20:05:11,CNR3034688,Success,566000,Prime SUV,Varthur,Kammanahalli,3.92,7.98,0,,0,,0,,247,10.59,3.8,4.4
2024-05-29,16:03:31,CNR6630265,Success,948747,Auto,Yeshwanthpur,JP Nagar,5.67,8.4,0,,0,,0,,115,3.08,3.8,3.7
2024-05-12,09:34:55,CNR7696572,Success,631783,Mini,Yelahanka,New BEL Road,2.16,3.93,0,,0,,0,,313,40.48,3.6,4
2024-05-08,05:44:58,CNR3305522,Success,143378,Auto,MG Road,JP Nagar,3.74,11.74,0,,0,,0,,318,41.24,3.2,4.9
2024-05-21,17:45:38,CNR8393221,Cancelled by Driver,128617,Auto,Vidyaranyapura,Frazer Town,,,0,,1,Customer related issue,0,,,,,
2024-05-14,18:40:49,CNR4175258,Incomplete,611896,Mini,Frazer Town,Gokula,2.42,13.16,0,,0,,1,Customer Demand,903,43.25,3.6,3.8
2024-05-04,20:08:24,CNR2457383,Success,376875,Bike,Domlur,Old Airport Road,4.25,3.74,0,,0,,0,,94,43.55,3.2,3.5
2024-05-06,19:14:00,CNR2558533,Success,482796,Prime Sedan,Kammanahalli,Sarjapur Road,9.67,14.08,0,,0,,0,,301,34.73,3.5,4.2
2024-05-13,19:16:19,CNR7192278,Success,666443,Prime Plus,Malleshwaram,Kammanahalli,2.89,5.44,0,,0,,0,,581,43.71,4.2,3.6
2024-05-23,10:00:52,CNR5053792,Cancelled by System,982615,Prime SUV,Bannerghatta Road,Hoodi,,,0,,0,,0,,,,,
2024-05-19,01:04:52,CNR6238758,Success,445525,Prime Plus,Sarjapur Road,Bellandur,4.86,7.29,0,,0,,0,,585,13.45,3.5,4
2024-05-22,13:33:14,CNR7470268,Success,107730,eBike,Sarjapur Road,Bellandur,7.61,11.73,0,,0,,0,,192,28.22,3.5,4.2
2024-05-26,07:30:34,CNR5610100,Success,114507,Auto,Hebbal,HSR Layout,6.59,8.25,0,,0,,0,,295,13.06,4.7,3.6
2024-05-09,13:11:38,CNR3081092,Cancelled by Driver,198337,Prime SUV,New BEL Road,Varthur,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-28,05:15:27,CNR1899045,Success,537010,eBike,Banashankari,MG Road,4.97,14.89,0,,0,,0,,362,11.42,3.8,4.3
2024-05-05,15:48:53,CNR6317316,Success,590785,Prime Sedan,Electronic City,Mahadevapura,3.8,9.31,0,,0,,0,,724,5.13,4.9,4.8
2024-05-01,13:28:43,CNR9481730,Success,888026,eBike,Sanjay Nagar,Kammanahalli,6.33,9.11,0,,0,,0,,106,10.62,4.1,4.5
2024-05-15,20:26:28,CNR9321879,Success,625848,Prime SUV,Sahakara Nagar,Old Airport Road,8.53,13.83,0,,0,,0,,316,36.17,3.7,3.8
2024-05-28,18:16:43,CNR3869044,Success,442140,Prime Plus,Whitefield,Mathikere,4.49,11.61,0,,0,,0,,77,10.5,4.3,3.7
2024-05-26,20:00:29,CNR7256441,Success,973160,Prime SUV,Hoodi,Frazer Town,4.05,3.55,0,,0,,0,,506,34.84,4.5,4.3
2024-05-19,16:05:16,CNR6729737,Success,723358,Prime Plus,Jayanagar,RT Nagar,9.41,8.08,0,,0,,0,,410,22.91,5,4.4
2024-05-08,07:29:04,CNR4485973,Cancelled by Driver,211269,Auto,Cooke Town,Vijayanagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-06,01:15:00,CNR3579620,Cancelled by System,539712,Bike,Koramangala,JP Nagar,,,0,,0,,0,,,,,
2024-05-26,02:19:18,CNR6311347,Success,805460,Auto,Ulsoor,Varthur,2.17,11.48,0,,0,,0,,474,39.72,4.1,4
2024-05-18,07:13:59,CNR6867850,Cancelled by Driver,821200,Prime Plus,Sahakara Nagar,Gokula,,,0,,1,Customer related issue,0,,,,,
2024-05-17,14:58:59,CNR4934752,Cancelled by Driver,727910,Auto,Koramangala,Electronic City,,,0,,1,Customer related issue,0,,,,,
2024-05-30,03:08:54,CNR3275074,Success,751023,Auto,Domlur,Gokula,6.25,13.25,0,,0,,0,,56,19.54,4.8,3.6
2024-05-01,18:51:57,CNR1889264,Success,373022,eBike,Jayanagar,Domlur,4.57,6.75,0,,0,,0,,310,17.72,5,4.6
2024-05-28,22:28:17,CNR9239438,Success,310964,Prime SUV,Hoodi,Brigade Road,2.55,3.63,0,,0,,0,,463,44.22,4,4.3
2024-05-07,04:58:30,CNR8758581,Incomplete,377543,eBike,RT Nagar,Indiranagar,8.1,13.35,0,,0,,1,Vehicle Breakdown,688,5.09,4.8,4.4
2024-05-18,14:24:02,CNR1628972,Success,235558,Mini,New BEL Road,Whitefield,9.57,5.3,0,,0,,0,,105,5.3,4.9,4.6
2024-05-11,08:18:57,CNR8209422,Cancelled by Driver,964614,Prime Sedan,Marathahalli,Sanjay Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-08,06:58:01,CNR1001671,Success,842342,Prime Sedan,Vasanth Nagar,JP Nagar,5.41,10.65,0,,0,,0,,160,4.82,3.8,4.2
2024-05-05,01:58:59,CNR5522399,Cancelled by Driver,574491,Prime Sedan,Vijayanagar,Indiranagar,,,0,,1,Customer related issue,0,,,,,
2024-05-27,08:17:36,CNR9865524,Cancelled by Customer,974992,Prime Plus,Mathikere,Kammanahalli,,,1,Change of plans,0,,0,,,,,
2024-05-12,10:23:46,CNR5124196,Cancelled by System,464387,Mini,Old Airport Road,Varthur,,,0,,0,,0,,,,,
2024-05-27,04:36:59,CNR3037930,Cancelled by Driver,409728,Mini,Sanjay Nagar,JP Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-07,13:07:47,CNR3831494,Cancelled by Driver,557692,Bike,Bannerghatta Road,Mahadevapura,,,0,,1,More than permitted people in there,0,,,,,
2024-05-04,10:53:46,CNR5300735,Success,328635,Prime Sedan,Sanjay Nagar,Banashankari,7.22,8.79,0,,0,,0,,242,3.69,4.3,4.5
2024-05-12,07:36:31,CNR4209598,Success,953210,Mini,Yelahanka,Hoodi,7.77,6.35,0,,0,,0,,256,29.82,3,4.5
2024-05-22,11:05:53,CNR6730924,Success,189815,Bike,Malleshwaram,Bellandur,1.47,3.4,0,,0,,0,,1013,9.4,4.3,4
2024-05-13,11:10:05,CNR6273024,Success,838917,eBike,HSR Layout,JP Nagar,6.3,9.89,0,,0,,0,,338,24.77,3.1,4.9
2024-05-19,16:20:04,CNR8567014,Success,251124,Prime Plus,Domlur,Jayanagar,5.22,7.61,0,,0,,0,,543,5.22,4.2,3.7
2024-05-19,16:02:56,CNR9529181,Success,607314,Auto,Vidyaranyapura,Richmond Town,4.4,10.85,0,,0,,0,,517,6.17,3.6,4.1
2024-05-10,16:57:05,CNR1186299,Success,533681,Bike,Ulsoor,Whitefield,1.47,14.8,0,,0,,0,,168,5.81,4.2,4.8
2024-05-07,21:00:36,CNR7502123,Success,735619,Prime SUV,Yelahanka,Frazer Town,5.8,6.69,0,,0,,0,,423,19.47,3.9,4.6
2024-05-11,18:25:32,CNR2536978,Success,276881,Prime Plus,Frazer Town,Indiranagar,1.79,7.09,0,,0,,0,,693,15.7,3.7,3.6
2024-05-30,18:04:26,CNR7568175,Cancelled by Driver,584396,eBike,Malleshwaram,JP Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-26,00:26:23,CNR3645675,Cancelled by Driver,885384,Mini,Banashankari,New BEL Road,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-12,20:13:08,CNR9720840,Cancelled by Driver,722208,Prime SUV,Old Airport Road,Ulsoor,,,0,,1,More than permitted people in there,0,,,,,
2024-05-28,10:33:18,CNR1403190,Cancelled by System,452421,Mini,Sadashivanagar,Brigade Road,,,0,,0,,0,,,,,
2024-05-06,00:54:16,CNR1878418,Success,191139,Prime SUV,Ulsoor,Bannerghatta Road,9.71,10.11,0,,0,,0,,308,28.3,3.8,3.6
2024-05-26,04:02:27,CNR8332295,Success,595023,Mini,Hoodi,MG Road,5.02,5.07,0,,0,,0,,939,16.37,4.2,4.5
2024-05-29,11:45:26,CNR9440588,Success,403886,Prime SUV,Peenya,Jalahalli,3.81,13.92,0,,0,,0,,485,38.75,3.1,3.8
2024-05-18,16:23:06,CNR3253808,Success,403618,Auto,MG Road,Mathikere,8.29,8.03,0,,0,,0,,70,1.25,3.1,4.7
2024-05-22,10:59:55,CNR6766351,Incomplete,374775,eBike,Yelahanka,Electronic City,8.53,9.92,0,,0,,1,Vehicle Breakdown,291,4.9,4.3,4
2024-05-04,16:02:03,CNR2488933,Success,249700,eBike,Yelahanka,Richmond Town,3.27,2.01,0,,0,,0,,632,42.94,3.7,4.4
2024-05-13,03:24:12,CNR3286771,Success,423900,Auto,Yelahanka,Cooke Town,5.71,6.79,0,,0,,0,,670,5.35,3.7,3.8
2024-05-24,16:49:30,CNR3322388,Success,698944,Prime Plus,Kadugodi,Jayanagar,9.18,10.42,0,,0,,0,,903,11.79,4.3,4
2024-05-04,21:29:46,CNR4388300,Cancelled by Driver,714694,Bike,Bellandur,Marathahalli,,,0,,1,Customer related issue,0,,,,,
2024-05-26,10:13:03,CNR4336203,Cancelled by System,989563,Prime Sedan,Hebbal,Mahadevapura,,,0,,0,,0,,,,,
2024-05-21,23:33:57,CNR3730708,Cancelled by Driver,564985,Mini,Basavanagudi,Kalyan Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-15,13:46:40,CNR5397841,Success,569978,Bike,Yelahanka,Hebbal,9.42,3.52,0,,0,,0,,126,31.32,4,4
2024-05-15,08:20:43,CNR9939449,Cancelled by Driver,111798,Mini,Brigade Road,Hebbal,,,0,,1,More than permitted people in there,0,,,,,
2024-05-24,08:30:35,CNR9455533,Success,510882,Prime Plus,Yeshwanthpur,Cooke Town,2.17,10.06,0,,0,,0,,513,29.1,4.5,4.4
2024-05-21,23:52:48,CNR9456472,Success,625101,Bike,Hebbal,Brookefield,7.03,2.91,0,,0,,0,,454,22.47,4.8,3.6
2024-05-24,10:57:57,CNR5169863,Incomplete,398118,eBike,Hebbal,Peenya,5.69,6.6,0,,0,,1,Other Issue,284,16.16,3.1,3.6
2024-05-31,07:20:04,CNR2049312,Success,940317,Auto,Vijayanagar,Frazer Town,4.36,2.94,0,,0,,0,,320,29.3,3.6,4.8
2024-05-11,15:47:16,CNR7977095,Cancelled by Driver,111286,Prime SUV,Marathahalli,JP Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-19,17:06:11,CNR7290601,Cancelled by System,278103,Prime Plus,Bennigana Halli,Hoodi,,,0,,0,,0,,,,,
2024-05-12,10:20:04,CNR7945789,Cancelled by Customer,609440,Prime Plus,Electronic City,Whitefield,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-31,02:49:21,CNR3966906,Success,225391,eBike,Yelahanka,RT Nagar,1.89,9.74,0,,0,,0,,618,38,4.7,4.8
2024-05-25,11:30:43,CNR6542290,Success,833315,Prime SUV,Yelahanka,Jalahalli,5.37,5.52,0,,0,,0,,586,40.96,3.7,4.6
2024-05-04,17:11:29,CNR2414178,Success,332309,Prime Sedan,MG Road,Cooke Town,1.13,14.58,0,,0,,0,,1108,2.5,4.1,4
2024-05-19,18:06:26,CNR3349783,Cancelled by Driver,665564,Prime Sedan,Old Airport Road,JP Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-05,02:22:10,CNR3434583,Success,425726,Prime SUV,Vasanth Nagar,CV Raman Nagar,2.34,4.08,0,,0,,0,,306,27.14,3.5,3.7
2024-05-19,01:58:50,CNR4007090,Success,336055,Prime Plus,Mathikere,Basavanagudi,7.83,5.37,0,,0,,0,,334,17.79,4.7,5
2024-05-12,12:35:33,CNR7257383,Success,807110,Prime Sedan,Bellandur,Richmond Town,5.94,2.76,0,,0,,0,,316,24.36,4.2,4
2024-05-30,01:16:47,CNR6468422,Success,692727,Prime Plus,Kammanahalli,Mathikere,2.99,8.67,0,,0,,0,,997,13.45,4,3.6
2024-05-04,13:17:54,CNR5119524,Cancelled by Driver,670108,Auto,Jayanagar,Richmond Town,,,0,,1,More than permitted people in there,0,,,,,
2024-05-17,19:58:31,CNR7906857,Cancelled by Customer,110349,Auto,Jayanagar,RT Nagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-24,10:29:13,CNR2454911,Success,645164,Prime SUV,CV Raman Nagar,Peenya,8.92,6.55,0,,0,,0,,153,37.87,3.7,4.2
2024-05-19,01:04:58,CNR4795975,Success,438592,eBike,Old Airport Road,Jalahalli,1.98,6.24,0,,0,,0,,356,37.22,4.1,4.2
2024-05-31,09:22:09,CNR9734654,Success,715230,Prime Sedan,Vijayanagar,Electronic City,6.53,13.29,0,,0,,0,,275,31.87,3.2,4.8
2024-05-14,02:28:38,CNR7813254,Success,957685,Mini,Sahakara Nagar,Vidyaranyapura,4.43,5.08,0,,0,,0,,486,14.86,3.6,3.8
2024-05-12,14:44:54,CNR5189609,Success,719607,Prime Plus,Kadugodi,CV Raman Nagar,4.3,11.84,0,,0,,0,,180,40.22,5,4.3
2024-05-12,19:31:55,CNR4039469,Cancelled by System,820944,Mini,Richmond Town,Indiranagar,,,0,,0,,0,,,,,
2024-05-10,21:39:49,CNR3971721,Cancelled by Driver,618671,eBike,Vidyaranyapura,Malleshwaram,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-18,22:56:30,CNR9290386,Cancelled by System,635011,Prime Plus,Whitefield,Basavanagudi,,,0,,0,,0,,,,,
